algorithm,delta,evaluation_iterations,gamma,goal_reward,iterations,memory,moves,openness,policy_iterations,runtime,seed,size,step_cost,work
DFS,,,,,,59,196,0.1,,0.00023689999943599105,1,30,,250
BFS,,,,,,31,68,0.1,,0.0009227999980794266,1,30,,900
A*_Manhattan,,,,,,71,68,0.1,,0.0009857000113697723,1,30,,655
A*_Euclidean,,,,,,47,68,0.1,,0.00123639999947045,1,30,,785
Value_Iteration,9.095436801276335e-05,,0.7,100,40,900,15,0.1,,0.040262460708618164,1,30,-1,35960
Policy_Iteration,,205,0.7,100,,900,68,0.1,52,0.10044026374816895,1,30,-1,184295
Value_Iteration,9.80797146166168e-05,,0.8,100,63,900,68,0.1,,0.06496667861938477,1,30,-1,56637
Policy_Iteration,,304,0.8,100,,900,68,0.1,45,0.12813377380371094,1,30,-1,273296
Value_Iteration,0,,0.9,100,69,900,68,0.1,,0.07188820838928223,1,30,-1,62031
Policy_Iteration,,362,0.9,100,,900,68,0.1,45,0.13603687286376953,1,30,-1,325438
Value_Iteration,0,,0.95,100,69,900,68,0.1,,0.06795692443847656,1,30,-1,62031
Policy_Iteration,,454,0.95,100,,900,68,0.1,45,0.16375255584716797,1,30,-1,408146
Value_Iteration,0,,0.99,100,69,900,68,0.1,,0.0764617919921875,1,30,-1,62031
Policy_Iteration,,1191,0.99,100,,900,68,0.1,45,0.36269354820251465,1,30,-1,1070709
