algorithm,delta,evaluation_iterations,gamma,goal_reward,iterations,memory,moves,openness,policy_iterations,runtime,seed,size,step_cost,work
DFS,,,,,,23,282,0.0,,0.0004844999930355698,1,30,,582
BFS,,,,,,5,282,0.0,,0.00039739999920129776,1,30,,461
A*_Manhattan,,,,,,6,282,0.0,,0.0005225000058999285,1,30,,403
A*_Euclidean,,,,,,5,282,0.0,,0.0006286999996518716,1,30,,406
Value_Iteration,9.12034456064248e-05,,0.9,100,133,900,3,0.0,,0.12483477592468262,1,30,-1,119567
Policy_Iteration,,450,0.9,100,,900,3,0.0,93,0.19850659370422363,1,30,-1,404550
DFS,,,,,,18,406,0.0,,0.000611600000411272,2,30,,680
BFS,,,,,,7,406,0.0,,0.0005762999935541302,2,30,,716
A*_Manhattan,,,,,,7,406,0.0,,0.0008461999968858436,2,30,,672
A*_Euclidean,,,,,,5,406,0.0,,0.000906000001123175,2,30,,673
Value_Iteration,9.12034456064248e-05,,0.9,100,133,900,4,0.0,,0.12247347831726074,2,30,-1,119567
Policy_Iteration,,376,0.9,100,,900,4,0.0,79,0.16317152976989746,2,30,-1,338024
DFS,,,,,,13,208,0.0,,0.00019370000518392771,3,30,,234
BFS,,,,,,6,208,0.0,,0.0002347999979974702,3,30,,293
A*_Manhattan,,,,,,7,208,0.0,,0.00035430000571068376,3,30,,279
A*_Euclidean,,,,,,5,208,0.0,,0.000378400000045076,3,30,,279
Value_Iteration,9.12034456064248e-05,,0.9,100,133,900,3,0.0,,0.12280797958374023,3,30,-1,119567
Policy_Iteration,,399,0.9,100,,900,3,0.0,85,0.1809377670288086,3,30,-1,358701
DFS,,,,,,59,196,0.1,,0.00022680000984109938,1,30,,250
BFS,,,,,,31,68,0.1,,0.0007483000081265345,1,30,,900
A*_Manhattan,,,,,,71,68,0.1,,0.0009323999984189868,1,30,,655
A*_Euclidean,,,,,,47,68,0.1,,0.0011770999990403652,1,30,,785
Value_Iteration,0,,0.9,100,69,900,68,0.1,,0.07105469703674316,1,30,-1,62031
Policy_Iteration,,362,0.9,100,,900,68,0.1,45,0.13480472564697266,1,30,-1,325438
DFS,,,,,,51,156,0.1,,0.00018289999570697546,2,30,,197
BFS,,,,,,33,64,0.1,,0.000718699986464344,2,30,,863
A*_Manhattan,,,,,,52,64,0.1,,0.0003522000042721629,2,30,,247
A*_Euclidean,,,,,,55,64,0.1,,0.0007838999881641939,2,30,,496
Value_Iteration,0,,0.9,100,74,900,64,0.1,,0.07556724548339844,2,30,-1,66526
Policy_Iteration,,358,0.9,100,,900,64,0.1,42,0.14038801193237305,2,30,-1,321842
DFS,,,,,,26,84,0.1,,9.539999882690609e-05,3,30,,93
BFS,,,,,,30,62,0.1,,0.0007947999984025955,3,30,,882
A*_Manhattan,,,,,,61,62,0.1,,0.0004025999951409176,3,30,,255
A*_Euclidean,,,,,,43,62,0.1,,0.0007581999961985275,3,30,,477
Value_Iteration,0,,0.9,100,63,900,62,0.1,,0.06828165054321289,3,30,-1,56637
Policy_Iteration,,346,0.9,100,,900,62,0.1,42,0.12992405891418457,3,30,-1,311054
DFS,,,,,,58,140,0.2,,0.00015579999308101833,1,30,,160
BFS,,,,,,33,60,0.2,,0.000814600003650412,1,30,,900
A*_Manhattan,,,,,,76,60,0.2,,0.0007460999913746491,1,30,,504
A*_Euclidean,,,,,,57,60,0.2,,0.0012494999973569065,1,30,,799
Value_Iteration,0,,0.9,100,61,900,60,0.2,,0.06519055366516113,1,30,-1,54839
Policy_Iteration,,376,0.9,100,,900,60,0.2,39,0.13874077796936035,1,30,-1,338024
DFS,,,,,,61,120,0.2,,0.0001551000023027882,2,30,,153
BFS,,,,,,37,58,0.2,,0.0008096999954432249,2,30,,900
A*_Manhattan,,,,,,88,58,0.2,,0.0006280000088736415,2,30,,418
A*_Euclidean,,,,,,56,58,0.2,,0.001210299989907071,2,30,,742
Value_Iteration,0,,0.9,100,59,900,58,0.2,,0.06583666801452637,2,30,-1,53041
Policy_Iteration,,295,0.9,100,,900,58,0.2,34,0.11442375183105469,2,30,-1,265205
DFS,,,,,,48,108,0.2,,0.00013150001177564263,3,30,,128
BFS,,,,,,32,60,0.2,,0.0008082999993348494,3,30,,900
A*_Manhattan,,,,,,60,60,0.2,,0.0003767000016523525,3,30,,245
A*_Euclidean,,,,,,52,60,0.2,,0.0010271999926771969,3,30,,644
Value_Iteration,0,,0.9,100,61,900,60,0.2,,0.06523466110229492,3,30,-1,54839
Policy_Iteration,,261,0.9,100,,900,60,0.2,36,0.1020662784576416,3,30,-1,234639
DFS,,,,,,54,92,0.3,,0.0001016999885905534,1,30,,94
BFS,,,,,,34,60,0.3,,0.0008252999978139997,1,30,,900
A*_Manhattan,,,,,,87,60,0.3,,0.0011842999956570566,1,30,,779
A*_Euclidean,,,,,,62,60,0.3,,0.0014106000016909093,1,30,,862
Value_Iteration,0,,0.9,100,61,900,60,0.3,,0.07010006904602051,1,30,-1,54839
Policy_Iteration,,339,0.9,100,,900,60,0.3,39,0.13527607917785645,1,30,-1,304761
DFS,,,,,,45,68,0.3,,7.520000508520752e-05,2,30,,69
BFS,,,,,,34,58,0.3,,0.0008500999974785373,2,30,,900
A*_Manhattan,,,,,,94,58,0.3,,0.0008783999946899712,2,30,,580
A*_Euclidean,,,,,,57,58,0.3,,0.0012883999879704788,2,30,,817
Value_Iteration,0,,0.9,100,59,900,58,0.3,,0.07301163673400879,2,30,-1,53041
Policy_Iteration,,222,0.9,100,,900,58,0.3,30,0.09003233909606934,2,30,-1,199578
DFS,,,,,,45,70,0.3,,8.610000077169389e-05,3,30,,71
BFS,,,,,,35,58,0.3,,0.0008522999996785074,3,30,,900
A*_Manhattan,,,,,,84,58,0.3,,0.0008296000014524907,3,30,,522
A*_Euclidean,,,,,,58,58,0.3,,0.0013546999980462715,3,30,,801
Value_Iteration,0,,0.9,100,59,900,58,0.3,,0.06537032127380371,3,30,-1,53041
Policy_Iteration,,234,0.9,100,,900,58,0.3,33,0.09360861778259277,3,30,-1,210366
